Training Step,Reward,Value Error
25000,5660.28893898856,130161.84485090867
50000,3549.675240032488,131000.13610186266
75000,2633.0323257408954,125626.45707437694
100000,955.8923423500568,122722.35944036889
125000,704.2766753882129,111510.07557369444
150000,650.9505279599916,113460.87847855058
175000,923.3336616844986,111574.01125747616
200000,1438.4734687827197,131828.4597779235
225000,2279.381613352487,143413.92151482822
250000,3619.0213674206057,182607.27947339826
275000,5202.109197109653,237029.33624867385
300000,6018.883222318575,279357.8140467745
325000,6206.361240331971,324212.5136025257
350000,5687.906819984761,268964.00845210487
375000,5165.636703353884,300192.9489431552
400000,5010.654662843102,518049.0020902361
425000,5136.337996652163,607021.5056636657
450000,5860.672504306094,1330661.1016662598
475000,6311.632020210088,1276021.033670828
500000,7122.683668840233,1372054.9543157613
525000,7461.518597605408,793413.3767660218
550000,7260.154329657784,609142.2629383131
575000,6999.850258876552,663777.986946653
600000,7244.422278221238,516750.6237346961
625000,7653.20410159547,509315.4055218703
650000,6779.508626300824,321357.1434254484
675000,5742.087811933951,301615.34855260444
700000,5583.637607035773,272312.2969496275
725000,6037.988504276452,645806.2373861633
750000,6311.7381524196535,771456.6264106134
775000,5948.263386875694,801565.3393095679
800000,5625.53432387282,468949.67417423433
825000,5549.912358053323,762751.3177095042
850000,5084.782095576174,1155413.7960915633
875000,5368.184767147577,1782213.4117578191
900000,5221.631567648233,1585335.869934135
925000,5776.354103238603,3128137.6166920774
950000,5585.725511780125,4697765.411922052
975000,6396.962994281151,5447236.432982918
1000000,6145.5423155714925,3720208.551129921
